question_id,question,expected_answer,generated_answer,confidence,semantic_similarity,keyword_overlap,factual_accuracy,retrieval_precision,retrieval_recall,retrieval_f1
1,Who proposed the concept of quantum computing in the early 1980s and why?,Richard Feynman proposed quantum computing in the early 1980s because classical computers would struggle to simulate quantum mechanical systems efficiently.,Richard Feynman,0.5646058519681295,0.55254065990448,0.13333333333333333,0.0,0.0,1.0,0.0
2,What is Shor's algorithm and why is it significant?,"Shor's algorithm, developed in 1994, factors large integers exponentially faster than classical algorithms, threatening RSA encryption systems.",This algorithm demonstrated that a quantum computer could factor large integers exponentially faster than classical computers,0.4415307343006134,0.6831046938896179,0.4666666666666667,0.0,0.0,1.0,0.0
3,What are the main quantum hardware platforms for building quantum computers?,"The main quantum hardware platforms include superconducting qubits, trapped ion qubits, photonic quantum computing, topological qubits, and neutral atom qubits.","quantum compilers, optimizers, and debugging tools",0.5566776792208353,0.532172679901123,0.07142857142857142,0.0,0.0,1.0,0.0
4,What is superposition and how does it benefit quantum computing?,"Superposition allows qubits to exist in multiple states simultaneously, enabling quantum computers to process many possibilities in parallel.",A principle allowing qubits to exist in multiple states simultaneously until measured,0.570819079875946,0.6768264770507812,0.35714285714285715,0.0,0.0,1.0,0.0
5,What are the primary applications of quantum computing in the pharmaceutical industry?,"Quantum computing applications in pharmaceuticals include drug discovery through molecular simulation, modeling electron configurations, and identifying effective drug candidates faster than classical methods.",drugs discovery,0.548412541548411,0.49039679765701294,0.05,0.0,0.0,1.0,0.0
6,What is decoherence and why is it a challenge for quantum computing?,"Decoherence is the process where qubits lose quantum properties through environmental interaction, causing errors and limiting the duration quantum information can be maintained.",The process by which quantum systems lose coherence through interaction with the environment,0.5400917927424113,0.7047296762466431,0.29411764705882354,0.0,0.0,1.0,0.0
7,What milestone did Google achieve with their Sycamore processor in 2019?,"Google claimed quantum supremacy with Sycamore in 2019, demonstrating a calculation that would take 200 seconds on quantum computer but 10,000 years on classical supercomputer.",200 seconds,0.2632732143004735,0.26545774936676025,0.06666666666666667,0.0,0.0,1.0,0.0
8,How does entanglement contribute to quantum computing capabilities?,"Entanglement creates quantum correlations between qubits where measuring one affects its entangled partner, enabling powerful error correction and exponential speedups in certain algorithms.",enables powerful quantum error correction,0.5496023893356323,0.6270743608474731,0.19047619047619047,0.0,0.0,1.0,0.0
9,What is the difference between quantum supremacy and quantum advantage?,"Quantum supremacy demonstrates quantum computers can solve any problem infeasible for classical computers, while quantum advantage shows they solve practically relevant problems faster or more efficiently than classical computers.",Quantum advantage represents a more meaningful milestone than quantum supremacy,0.4048788746198018,0.8109321594238281,0.25,0.0,0.0,1.0,0.0
10,What are the main challenges facing practical quantum computing?,"Main challenges include decoherence, error correction requiring many physical qubits per logical qubit, scalability of control systems, gate fidelity requirements, readout errors, manufacturing consistency, and software development.",quantum computers pose significant threats to current security infrastructure,0.5493496060371399,0.6097392439842224,0.0,0.0,0.0,1.0,0.0
11,What is Grover's algorithm and what speedup does it provide?,"Grover's algorithm provides quadratic speedup for unstructured search, requiring O(√N) operations compared to classical O(N) operations for N items.",a quadratic speedup for unstructured search problems,0.5048898061116537,0.5847201347351074,0.3333333333333333,0.0,0.0,1.0,0.0
12,How might quantum computing impact cryptography?,"Quantum computing threatens RSA encryption through Shor's algorithm, motivating post-quantum cryptography development, while enabling quantum key distribution for theoretically unbreakable encryption.",Threats to current security infrastructure,0.5481668710708618,0.18255844712257385,0.0,0.0,0.0,1.0,0.0
13,What are the projected phases of quantum computing development?,"Near-term (2024-2030) focuses on noisy intermediate-scale quantum systems, medium-term (2030-2040) may see fault-tolerant quantum computing, and beyond 2040 large-scale fault-tolerant systems could revolutionize multiple industries.","Near-term future, spanning 2024 to 2030",0.4994957149028778,0.5747299790382385,0.1,0.0,0.0,1.0,0.0
14,What is coherence time and how does it vary across platforms?,"Coherence time is how long qubits maintain quantum states before decoherence. Superconducting qubits achieve microseconds to milliseconds, while trapped ions achieve seconds to minutes.",The duration a qubit maintains its quantum state before decoherence occurs.,0.2467354734738668,0.7416560053825378,0.15789473684210525,0.0,0.0,1.0,0.0
